texteQuestion,EltCorrections,texteRep,noteObtenue,numeroQ
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...",Ce sont les pages web accessible par tout navigateur.,0.5,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...",Un réseau mondial,0.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...",C'est le réseau mondiale d'internet.,0.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...","Le réseau mondial, Internet.",0.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...",C'est un reseau permetant de connecter l'ensemble des machines ayant accés à internet entre elles.,0.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...","Le world Wide Web, d'abréviation 'www' est la plateforme surportant internet, ou tout au moins une grande partie de celui-ci.",0.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...",C'est le systeme hypertexte qui sert à consulter des documents et des pages hébergés sur le réseau internet,1.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...","C'est l'internet mondial, le web qui peut etre accédé avec une connexion internet.",0.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...",NO_ANS,0.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...","www est un système hypertexte fonctionnant sur internet, c'est une des applications d'internet comme le courrier électronique",1.0,1001
Qu'est-ce que le World Wide Web ?,"système hypertexte fonctionnant sur internet = une des applications d'internet, comme courrier électronique, messagerie instantanée...","Inventé par Tim Berners-Lee en 1989, il permet la mise en commun de connaissance sur des pages internet accessible depuis un navigateur.",1.0,1001
